Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Error
820,834,1020,DV1,22.0,1041,0.0,2.6016,181.7004,0.0,5.9192,46.1652,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.073,25.6116,26.7369,8.7299,8.9175,9.3092,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0558,3.5271,0.0,5.8819,19.6493,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2244,26.7369,0.0,5.9028,19.6493,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3744,58.6231,115.4781,0.9404,16.145,46.1652,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,29.3118,58.6231,107.7302,0.0418,0.0836,0.1536,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,175.86918424247506,175.869184242469,0,9.9901,50.7901,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,22.0,1041,0.0,2.5586,178.7065,0.0,5.8208,45.425,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.6796,25.2182,26.3324,8.5929,8.7805,9.1684,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.038,3.4799,0.0,5.7826,19.3862,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2039,26.3324,0.0,5.8032,19.3862,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3043,57.6242,113.6193,0.9252,15.8847,45.425,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,28.4577,57.6242,106.1285,0.0406,0.0822,0.1514,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,172.87257320926415,172.87257320925812,0,9.6109,50.2899,0.0,0.0,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,23.0,1041,0.0,2.6335,183.8408,0.0,5.9922,46.8185,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4446,26.0077,27.1626,8.8593,9.0554,9.4575,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.069,3.5953,0.0,5.9553,20.0288,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2402,27.1626,0.0,5.9766,20.0288,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4363,59.3372,117.0985,0.9535,16.3708,46.8185,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,28.976,59.3372,109.4997,0.0413,0.0846,0.1562,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,178.01168165462317,178.011681654617,0,10.2589,51.5001,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,23.0,1041,0.0,2.5905,180.8469,0.0,5.8938,46.0782,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.0512,25.6143,26.7581,8.7223,8.9184,9.3166,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0512,3.5481,0.0,5.856,19.7658,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2197,26.7581,0.0,5.877,19.7658,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3662,58.3384,115.2396,0.9384,16.1105,46.0782,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,28.1218,58.3384,107.8981,0.0401,0.0832,0.1539,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,175.01507062141218,175.01507062140618,0,9.8848,51.0094,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,23.0,1041,0.0,2.5475,177.8529,0.0,5.7954,45.3379,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.6577,25.2209,26.3537,8.5853,8.7814,9.1758,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0333,3.5008,0.0,5.7567,19.5027,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.1993,26.3537,0.0,5.7774,19.5027,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.296,57.3395,113.3808,0.9233,15.8503,45.3379,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,27.2677,57.3395,106.2964,0.0389,0.0818,0.1516,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,172.0184595882012,172.01845958819524,0,9.5053,50.5122,0.0,0.0,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,24.0,1041,0.0,2.6225,182.9873,0.0,5.9669,46.7315,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4228,26.0104,27.1838,8.8517,9.0563,9.4648,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0644,3.6162,0.0,5.9294,20.1453,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2356,27.1838,0.0,5.9509,20.1453,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4281,59.0525,116.86,0.9516,16.3363,46.7315,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,27.786,59.0525,109.6676,0.0396,0.0842,0.1564,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,177.1575680335597,177.15756803355356,0,10.1543,51.7152,0.0,0.0,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,24.0,1041,0.0,2.5795,179.9933,0.0,5.8685,45.9912,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.0293,25.617,26.7793,8.7147,8.9193,9.324,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0465,3.569,0.0,5.8302,19.8822,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2152,26.7793,0.0,5.8514,19.8822,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3579,58.0537,115.0012,0.9365,16.0761,45.9912,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,26.9319,58.0537,108.066,0.0384,0.0828,0.1541,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,174.16095700034913,174.16095700034302,0,9.7789,51.2275,0.0,0.0,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,24.0,1041,0.0,2.5365,176.9994,0.0,5.7705,45.2509,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,24.6359,25.2235,26.3749,8.5777,8.7823,9.1832,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0288,3.5217,0.0,5.7312,19.6192,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.1948,26.3749,0.0,5.7521,19.6192,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.2878,57.0548,113.1423,0.9213,15.8158,45.2509,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,26.0777,57.0548,106.4643,0.0372,0.0814,0.1518,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,171.16434596713796,171.16434596713208,0,9.3996,50.7332,21.8627,22.549,moderate,normal,diastolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,25.0,1041,0.0,2.6115,182.1337,0.0,5.9422,46.6444,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.4009,26.0131,27.205,8.8441,9.0572,9.4722,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0598,3.6371,0.0,5.9042,20.2618,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2311,27.205,0.0,5.9259,20.2618,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.4198,58.7678,116.6215,0.9497,16.3018,46.6444,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,26.596,58.7678,109.8355,0.0379,0.0838,0.1566,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,176.30345441249688,176.30345441249062,0,10.0496,51.9292,21.8627,22.549,moderate,normal,systolic,6,4,48,2,[8.795705766842482e-09]
820,834,1020,DV1,25.0,1041,0.0,2.5686,179.1398,0.0,5.8443,45.9042,0.0,5.4659,11.1418,0.01,0.0148,1,0.05,0.2247,25,7,25.0075,25.6196,26.8006,8.7071,8.9202,9.3314,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1013,0.0,1.0421,3.5899,0.0,5.8053,19.9987,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1020,0.0,1.2108,26.8006,0.0,5.8267,19.9987,0.3482,5.535,5.5709,0.01,0.0101,0.02,0.05,0.05,0.05,3,4.3497,57.7689,114.7627,0.9345,16.0416,45.9042,0.0081,3.5284,10.5535,0.025,0.1,0.15,3.7,4.2,5.2,3,25.7419,57.7689,108.2339,0.0367,0.0824,0.1544,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,173.306843379286,173.30684337927994,0,9.6759,51.4442,21.8627,22.549,moderate,normal,average,6,4,48,2,[8.795705766842482e-09]
