Num intranidal nodes,Num nodes,Num intranidal vessels,Injection location,Injection pressure (mmHg),Num vessels,Flow min (mL/min),Flow mean (mL/min),Flow max (mL/min),Pressure min (mmHg),Pressure mean (mmHg),Pressure max (mmHg),Resistance min (mmHg*min/mL),Resistance mean (mmHg*min/mL),Resistance max (mmHg*min/mL),Radius min (cm),Radius mean (cm),Radius max (cm),Length min (cm),Length mean (cm),Length max (cm),Num fistulous,Fistulous flow min (mL/min),Fistulous flow mean (mL/min),Fistulous flow max (mL/min),Fistulous pressure min (mmHg),Fistulous pressure mean (mmHg),Fistulous pressure max (mmHg),Fistulous resistance min (mmHg*min/mL),Fistulous resistance mean (mmHg*min/mL),Fistulous resistance max (mmHg*min/mL),Fistulous radius min (cm),Fistulous radius mean (cm),Fistulous radius max (cm),Fistulous length min (cm),Fistulous length mean (cm),Fistulous length max (cm),Num plexiform,Plexiform flow min (mL/min),Plexiform flow mean (mL/min),Plexiform flow max (mL/min),Plexiform pressure min (mmHg),Plexiform pressure mean (mmHg),Plexiform pressure max (mmHg),Plexiform resistance min (mmHg*min/mL),Plexiform resistance mean (mmHg*min/mL),Plexiform resistance max (mmHg*min/mL),Plexiform radius min (cm),Plexiform radius mean (cm),Plexiform radius max (cm),Plexiform length min (cm),Plexiform length mean (cm),Plexiform length max (cm),Num intranidal,Intranidal flow min (mL/min),Intranidal flow mean (mL/min),Intranidal flow max (mL/min),Intranidal pressure min (mmHg),Intranidal pressure mean (mmHg),Intranidal pressure max (mmHg),Intranidal resistance min (mmHg*min/mL),Intranidal resistance mean (mmHg*min/mL),Intranidal resistance max (mmHg*min/mL),Intranidal radius min (cm),Intranidal radius mean (cm),Intranidal radius max (cm),Intranidal length min (cm),Intranidal length mean (cm),Intranidal length max (cm),Num feeder,Feeder flow min (mL/min),Feeder flow mean (mL/min),Feeder flow max (mL/min),Feeder pressure min (mmHg),Feeder pressure mean (mmHg),Feeder pressure max (mmHg),Feeder resistance min (mmHg*min/mL),Feeder resistance mean (mmHg*min/mL),Feeder resistance max (mmHg*min/mL),Feeder radius min (cm),Feeder radius mean (cm),Feeder radius max (cm),Feeder length min (cm),Feeder length mean (cm),Feeder length max (cm),Num drainer,Drainer flow min (mL/min),Drainer flow mean (mL/min),Drainer flow max (mL/min),Drainer pressure min (mmHg),Drainer pressure mean (mmHg),Drainer pressure max (mmHg),Drainer resistance min (mmHg*min/mL),Drainer resistance mean (mmHg*min/mL),Drainer resistance max (mmHg*min/mL),Drainer radius min (cm),Drainer radius mean (cm),Drainer radius max (cm),Drainer length min (cm),Drainer length mean (cm),Drainer length max (cm),Feeder total flow (mL/min),Drainer total flow (mL/min),Min rupture risk (%),Mean rupture risk (%),Max rupture risk (%),Percent filled (%),Percent filled post-injection (%),Blood pressure hypotension,CVP pressure,Cardiac phase,Num columns,Num compartments,Num cross vessels,Fistula compartment index,Occluded,Error
1018,1032,1304,DV3,30,1325,0.0021,2.675,252.2995,0.0013,5.8283,39.4831,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,25.9034,27.0774,28.3646,9.0191,9.4278,9.876,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0021,1.0463,3.7769,0.0118,5.829,21.0409,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0021,1.1661,28.3646,0.0118,5.8456,21.0409,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.057,82.3172,152.8106,1.2444,3.7615,7.8074,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,0.9242,82.3172,160.1389,0.0013,0.1174,0.2284,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,246.9516932731211,246.9516932731432,0,16.0052,56.8987,30.5215,30.8282,moderate,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
1018,1032,1304,DV3,30,1325,0.0096,1.1523,91.9449,0.001,2.8634,18.0435,0.0,5.5877,136.9099,0.01,0.0137,1,0.05,0.1867,25,6,10.781,11.3706,12.2666,3.7537,3.959,4.271,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0096,0.5152,1.7326,0.0537,2.8703,9.6523,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0096,0.5652,12.2666,0.0537,2.8753,9.6523,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0257,29.8436,53.448,0.4352,1.6054,3.5253,0.0081,45.6473,136.9099,0.0125,0.0958,0.15,3,3.9667,5.2,3,25.8452,47.0566,76.0564,0.0369,0.0671,0.1085,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,89.47936623763836,89.47936623764494,0,1.5519,30.1908,75.9969,75.9969,profound,elevated,average,5,6,60,2,AF3,[3.5721877130120762e-09]
1018,1032,1304,,0,1325,0.0,2.0642,191.2306,0.0,4.5259,49.6093,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,25.1214,27.0016,29.3945,8.7468,9.4014,10.2346,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0102,0.7995,4.6537,0.0567,4.4537,25.9251,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0102,0.92,29.3945,0.0567,4.4765,25.9251,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1829,61.9783,181.0512,1.4743,25.3742,49.6093,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,24.0421,61.9783,122.4257,0.0343,0.0884,0.1746,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,185.93482461547842,185.93482461549675,0,10.4039,64.0529,0.0,0.0,moderate,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,,0,1325,0.0,0.8614,79.8724,0.0,1.8874,20.6696,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,10.4665,11.2499,12.2469,3.6442,3.917,4.2641,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0043,0.3331,1.9391,0.0237,1.8555,10.8024,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0043,0.3833,12.2469,0.0237,1.865,10.8024,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0713,25.8212,75.4339,0.6143,10.348,20.6696,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,10.0163,25.8212,51.0059,0.0143,0.0368,0.0727,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,77.46370771398614,77.46370771399398,0,0.8764,34.049,0.0,0.0,profound,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,DV3,20,1325,0.0,1.926,178.0871,0.0,4.181,39.6329,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,25.154,27.1046,29.3825,8.7581,9.4373,10.2304,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0001,0.739,4.3361,0.0006,4.1168,24.1557,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0001,0.8603,29.3825,0.0006,4.1413,24.1557,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1307,57.5836,169.129,1.3772,18.7047,36.8432,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,9.034,57.5836,133.7497,0.0129,0.0821,0.1907,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,172.75076179833638,172.75076179835364,0,9.9802,61.6301,25.8436,42.2546,moderate,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,DV3,20,1325,0.0,0.8234,66.729,0.0,1.9828,18.0684,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,10.4992,11.3529,12.2349,3.6556,3.9528,4.26,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0007,0.3533,1.6215,0.0042,1.9681,9.0329,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0007,0.4039,12.2349,0.0042,1.9772,9.0329,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.0191,21.4265,63.5116,0.5172,3.6786,7.9034,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,13.9915,30.7542,62.3299,0.02,0.0439,0.0889,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,64.27964489684405,64.2796448968505,0,0.7913,27.918,61.5798,61.5798,profound,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,DV3,30,1325,0.0,1.9181,171.5153,0.0,4.2973,39.699,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,25.1703,27.156,29.3765,8.7638,9.4552,10.2283,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0085,0.7617,4.1772,0.0473,4.2432,23.2709,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0085,0.8831,29.3765,0.0473,4.2672,23.2709,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.1046,55.3862,163.1679,1.3287,15.37,30.4601,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,6.1825,59.5079,139.4118,0.0088,0.0849,0.1988,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,166.15873038976574,166.1587303897823,0,9.9962,60.3512,55.2147,55.2147,moderate,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,DV3,30,1325,0.0,0.8717,67.9919,0.0,2.338,18.1346,0.0,5.5957,136.9099,0.01,0.0137,1,0.05,0.1856,25,6,10.5155,11.4043,12.2289,3.6613,3.9708,4.2579,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.002,0.4195,1.7156,0.011,2.3368,9.5574,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.002,0.47,12.2289,0.011,2.3443,9.5574,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,3,0.007,19.2339,57.5505,0.4686,0.9822,1.5204,0.0081,49.1572,136.9099,0.0125,0.0625,0.15,3,3.4667,3.7,3,18.9037,38.7012,67.9919,0.027,0.0552,0.097,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,57.6876134882732,57.68761348827931,0,1.3309,29.8521,100.0,100.0,profound,elevated,average,5,6,60,2,AF1,[6.4643362640524905e-09]
1018,1032,1304,,0,1326,0.0042,2.9407,278.9555,0.0031,6.467,47.6546,0.0,5.5915,136.9099,0.01,0.0138,1,0.05,0.1894,25,6,25.9016,26.9079,28.3113,9.0184,9.3688,9.8574,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0042,1.1563,4.4348,0.0235,6.4414,24.7058,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0042,1.2747,28.3113,0.0235,6.4548,24.7058,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,4,0.1311,68.4178,169.7234,1.3821,17.3362,47.6546,0.0081,36.8738,136.9099,0.0125,0.0781,0.15,3,3.9,5.2,3,48.8685,91.2237,144.6618,0.0697,0.1301,0.2063,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,273.6710003609999,273.671000361035,0,17.0974,62.4019,0.0,0.0,moderate,elevated,average,5,6,60,2,,[7.341582598366338e-09]
1018,1032,1304,,0,1326,0.0011,1.2266,116.4242,0.0013,2.6961,19.8551,0.0,5.5915,136.9099,0.01,0.0138,1,0.05,0.1894,25,6,10.7916,11.2109,11.7956,3.7574,3.9034,4.107,0.3482,0.3482,0.3482,0.02,0.02,0.02,0.05,0.05,0.05,1298,0.0011,0.4817,1.8477,0.006,2.6837,10.2934,5.5709,5.5709,5.5709,0.01,0.01,0.01,0.05,0.05,0.05,1304,0.0011,0.5311,11.7956,0.006,2.6893,10.2934,0.3482,5.5468,5.5709,0.01,0.01,0.02,0.05,0.05,0.05,4,0.0497,28.505,70.714,0.5758,7.055,19.8551,0.0081,36.8738,136.9099,0.0125,0.0781,0.15,3,3.9,5.2,3,20.3588,38.0067,60.2709,0.029,0.0542,0.086,0.0014,0.0014,0.0014,0.25,0.25,0.25,5,5.0,5,114.02016610785897,114.02016610787334,0,1.0917,32.395,0.0,0.0,profound,elevated,average,5,6,60,2,,[7.341582598366338e-09]
